# POINT,X,Y_CALC,Y_IN,DIFF,POINT1
1.000000000000000000e+00,0.000000000000000000e+00,1.000018000000000074e+00,1.000018000000000074e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.460619999999999974e-02,1.000025900000000023e+00,1.000025900000000023e+00,0.000000000000000000e+00,2.000000000000000000e+00
3.000000000000000000e+00,2.872910000000000047e-02,1.000048499999999896e+00,1.000048400000000060e+00,9.999999999999999547e-08,3.000000000000000000e+00
4.000000000000000000e+00,4.239590000000000025e-02,1.000084399999999984e+00,1.000084200000000090e+00,1.999999999999999909e-07,4.000000000000000000e+00
5.000000000000000000e+00,5.563909999999999689e-02,1.000132299999999974e+00,1.000132000000000021e+00,2.999999999999999864e-07,5.000000000000000000e+00
6.000000000000000000e+00,6.849750000000000283e-02,1.000191100000000111e+00,1.000190600000000041e+00,4.999999999999999774e-07,6.000000000000000000e+00
7.000000000000000000e+00,8.101669999999999705e-02,1.000259800000000032e+00,1.000259100000000068e+00,6.999999999999999683e-07,7.000000000000000000e+00
8.000000000000000000e+00,9.324999999999999956e-02,1.000337500000000102e+00,1.000336700000000079e+00,7.999999999999999638e-07,8.000000000000000000e+00
9.000000000000000000e+00,1.052590000000000053e-01,1.000423400000000074e+00,1.000422600000000051e+00,7.999999999999999638e-07,9.000000000000000000e+00
1.000000000000000000e+01,1.171139999999999959e-01,1.000517000000000101e+00,1.000516299999999914e+00,6.999999999999999683e-07,1.000000000000000000e+01
1.100000000000000000e+01,1.288933999999999913e-01,1.000617899999999949e+00,1.000617300000000043e+00,4.999999999999999774e-07,1.100000000000000000e+01
1.200000000000000000e+01,1.406837999999999977e-01,1.000725700000000051e+00,1.000725400000000098e+00,1.999999999999999909e-07,1.200000000000000000e+01
1.300000000000000000e+01,1.525786000000000087e-01,1.000840399999999963e+00,1.000840500000000022e+00,-9.999999999999999547e-08,1.300000000000000000e+01
1.400000000000000000e+01,1.646764000000000006e-01,1.000961999999999907e+00,1.000962399999999919e+00,-3.999999999999999819e-07,1.400000000000000000e+01
1.500000000000000000e+01,1.770784999999999998e-01,1.001090700000000000e+00,1.001091299999999906e+00,-6.999999999999999683e-07,1.500000000000000000e+01
1.600000000000000000e+01,1.898865999999999887e-01,1.001226600000000078e+00,1.001227400000000101e+00,-7.999999999999999638e-07,1.600000000000000000e+01
1.700000000000000000e+01,2.031998000000000137e-01,1.001369900000000035e+00,1.001370799999999894e+00,-8.999999999999999593e-07,1.700000000000000000e+01
1.800000000000000000e+01,2.171116999999999908e-01,1.001520799999999989e+00,1.001521899999999965e+00,-1.100000000000000056e-06,1.800000000000000000e+01
1.900000000000000000e+01,2.317084000000000088e-01,1.001679399999999998e+00,1.001680899999999985e+00,-1.599999999999999928e-06,1.900000000000000000e+01
2.000000000000000000e+01,2.470667000000000002e-01,1.001845600000000003e+00,1.001848300000000025e+00,-2.799999999999999873e-06,2.000000000000000000e+01
2.100000000000000000e+01,2.632529000000000119e-01,1.002020499999999981e+00,1.002024400000000037e+00,-3.999999999999999819e-06,2.100000000000000000e+01
2.200000000000000000e+01,2.803225999999999773e-01,1.002207000000000070e+00,1.002209600000000034e+00,-2.600000000000000094e-06,2.200000000000000000e+01
2.300000000000000000e+01,2.983217000000000230e-01,1.002408900000000047e+00,1.002404099999999909e+00,4.799999999999999783e-06,2.300000000000000000e+01
2.400000000000000000e+01,3.172865999999999742e-01,1.002632500000000038e+00,1.002608200000000060e+00,2.419999999999999869e-05,2.400000000000000000e+01
2.500000000000000000e+01,3.372465000000000046e-01,1.002880699999999958e+00,1.002822300000000055e+00,5.840000000000000329e-05,2.500000000000000000e+01
2.600000000000000000e+01,1.293430800000000103e+00,1.036335999999999924e+00,1.019172900000000048e+00,1.716310000000000058e-02,2.600000000000000000e+01
2.700000000000000000e+01,2.519866799999999962e+00,1.142684999999999951e+00,1.080472799999999900e+00,6.221229999999999816e-02,2.700000000000000000e+01
2.800000000000000000e+01,3.982529500000000056e+00,1.357751399999999942e+00,1.209028599999999898e+00,1.487227999999999883e-01,2.800000000000000000e+01
2.900000000000000000e+01,5.759094400000000391e+00,1.737022300000000019e+00,1.469891999999999976e+00,2.671303999999999901e-01,2.900000000000000000e+01
3.000000000000000000e+01,9.992148300000000205e+00,3.043520500000000073e+00,4.224135500000000043e+00,-1.180614999999999970e+00,3.000000000000000000e+01
3.100000000000000000e+01,1.508258209999999977e+01,5.141546400000000183e+00,6.851351799999999770e+00,-1.709805400000000031e+00,3.100000000000000000e+01
3.200000000000000000e+01,2.172850469999999845e+01,8.291261000000000436e+00,9.883366000000000540e+00,-1.592105099999999940e+00,3.200000000000000000e+01
3.300000000000000000e+01,3.044837940000000032e+01,1.242006639999999962e+01,1.340602310000000053e+01,-9.859567000000000192e-01,3.300000000000000000e+01
3.400000000000000000e+01,4.169366180000000099e+01,1.739900180000000063e+01,1.739482960000000134e+01,4.172099999999999767e-03,3.400000000000000000e+01
3.500000000000000000e+01,5.593356440000000163e+01,2.264917940000000129e+01,2.181307169999999829e+01,8.361075999999999508e-01,3.500000000000000000e+01
3.600000000000000000e+01,7.360687699999999722e+01,2.781661869999999936e+01,2.659842889999999827e+01,1.218189699999999931e+00,3.600000000000000000e+01
3.700000000000000000e+01,9.511716549999999870e+01,3.274918900000000122e+01,3.167835729999999828e+01,1.070831799999999889e+00,3.700000000000000000e+01
3.800000000000000000e+01,1.207415715000000063e+02,3.770975370000000026e+01,3.694802969999999931e+01,7.617239999999999567e-01,3.800000000000000000e+01
3.900000000000000000e+01,1.506313711999999896e+02,4.272631080000000026e+01,4.229353480000000332e+01,4.327759999999999940e-01,3.900000000000000000e+01
4.000000000000000000e+01,1.848041595999999913e+02,4.775464319999999674e+01,4.760255020000000314e+01,1.520930000000000060e-01,4.000000000000000000e+01
4.100000000000000000e+01,2.231134274000000062e+02,5.281157929999999823e+01,5.276414400000000171e+01,4.743529999999999969e-02,4.100000000000000000e+01
4.200000000000000000e+01,2.652793249000000060e+02,5.770799219999999963e+01,5.768354970000000037e+01,2.444249999999999895e-02,4.200000000000000000e+01
4.300000000000000000e+01,3.108684030000000007e+02,6.227781050000000107e+01,6.227781050000000107e+01,0.000000000000000000e+00,4.300000000000000000e+01
4.400000000000000000e+01,3.593504983999999922e+02,6.648796169999999961e+01,6.648796169999999961e+01,0.000000000000000000e+00,4.400000000000000000e+01
4.500000000000000000e+01,4.100794965000000047e+02,7.027012190000000658e+01,7.027012190000000658e+01,0.000000000000000000e+00,4.500000000000000000e+01
4.600000000000000000e+01,4.623688336999999819e+02,7.360526369999999474e+01,7.360526369999999474e+01,0.000000000000000000e+00,4.600000000000000000e+01
4.700000000000000000e+01,5.154633340999999973e+02,7.648692739999999901e+01,7.648692739999999901e+01,0.000000000000000000e+00,4.700000000000000000e+01
4.800000000000000000e+01,5.686265611999999692e+02,7.892970750000000635e+01,7.892970750000000635e+01,0.000000000000000000e+00,4.800000000000000000e+01
4.900000000000000000e+01,6.210969761000000062e+02,8.095517750000000490e+01,8.095517750000000490e+01,0.000000000000000000e+00,4.900000000000000000e+01
5.000000000000000000e+01,6.721832653999999820e+02,8.260022080000000244e+01,8.260022080000000244e+01,0.000000000000000000e+00,5.000000000000000000e+01
5.100000000000000000e+01,7.212021370999999590e+02,8.390244739999999979e+01,8.390244739999999979e+01,0.000000000000000000e+00,5.100000000000000000e+01
5.200000000000000000e+01,7.675803405999999995e+02,8.490909369999999967e+01,8.490909369999999967e+01,0.000000000000000000e+00,5.200000000000000000e+01
5.300000000000000000e+01,8.107745813000000226e+02,8.566270400000000507e+01,8.566270400000000507e+01,0.000000000000000000e+00,5.300000000000000000e+01
5.400000000000000000e+01,8.503802720999999565e+02,8.621090560000000380e+01,8.621090560000000380e+01,0.000000000000000000e+00,5.400000000000000000e+01
5.500000000000000000e+01,8.860358737000000247e+02,8.659271270000000698e+01,8.659271270000000698e+01,0.000000000000000000e+00,5.500000000000000000e+01
5.600000000000000000e+01,9.175385516000000052e+02,8.684921540000000562e+01,8.684921540000000562e+01,0.000000000000000000e+00,5.600000000000000000e+01
5.700000000000000000e+01,9.447359830999999986e+02,8.701061219999999707e+01,8.701061219999999707e+01,0.000000000000000000e+00,5.700000000000000000e+01
5.800000000000000000e+01,9.676485086999999794e+02,8.710773530000000164e+01,8.710773530000000164e+01,0.000000000000000000e+00,5.800000000000000000e+01
5.900000000000000000e+01,9.863514966999999842e+02,8.715979500000000257e+01,8.715979500000000257e+01,0.000000000000000000e+00,5.900000000000000000e+01
6.000000000000000000e+01,1.001102794300000028e+03,8.718662840000000358e+01,8.718662840000000358e+01,0.000000000000000000e+00,6.000000000000000000e+01
6.100000000000000000e+01,1.012218467600000054e+03,8.719707400000000064e+01,8.719707400000000064e+01,0.000000000000000000e+00,6.100000000000000000e+01
6.200000000000000000e+01,1.020203860400000053e+03,8.720103699999999947e+01,8.720179070000000365e+01,-7.537000000000000513e-04,6.200000000000000000e+01
6.300000000000000000e+01,1.025625278100000060e+03,8.720208230000000071e+01,8.720208230000000071e+01,0.000000000000000000e+00,6.300000000000000000e+01
6.400000000000000000e+01,1.029243234499999971e+03,8.720226510000000530e+01,8.720300699999999949e+01,-7.418999999999999814e-04,6.400000000000000000e+01
6.500000000000000000e+01,1.031882822199999964e+03,8.720225969999999904e+01,8.720225969999999904e+01,0.000000000000000000e+00,6.500000000000000000e+01
